market_role_prod,market_name_prod,variety,grade,week_end,avg_price_prod,market_role_term,market_name_term,avg_price_term,NASCDI
producer,Shopian,American,B,2024-12-01 23:59:59.999999999,31.25,terminal,Azadpur,46.875,
producer,Shopian,Delicious,A,2017-09-17 23:59:59.999999999,37.5,terminal,Azadpur,46.875,
producer,Shopian,Delicious,A,2017-09-24 23:59:59.999999999,38.482142857142854,terminal,Azadpur,46.875,
producer,Shopian,Delicious,A,2017-10-01 23:59:59.999999999,35.535714285714285,terminal,Azadpur,46.875,
producer,Shopian,Delicious,A,2017-10-08 23:59:59.999999999,31.517857142857142,terminal,Azadpur,46.875,
producer,Shopian,Delicious,A,2017-10-15 23:59:59.999999999,31.875,terminal,Azadpur,49.107142857142854,
producer,Shopian,Delicious,A,2017-10-22 23:59:59.999999999,31.607142857142858,terminal,Azadpur,50.0,
producer,Shopian,Delicious,A,2017-10-29 23:59:59.999999999,32.589285714285715,terminal,Azadpur,50.0,
producer,Shopian,Delicious,A,2017-11-05 23:59:59.999999999,30.669642857142858,terminal,Azadpur,50.0,
producer,Shopian,Delicious,A,2017-11-12 23:59:59.999999999,35.714285714285715,terminal,Azadpur,50.0,
producer,Shopian,Delicious,A,2017-11-19 23:59:59.999999999,37.5,terminal,Azadpur,50.0,
producer,Shopian,Delicious,A,2017-11-26 23:59:59.999999999,38.839285714285715,terminal,Azadpur,50.0,
producer,Shopian,Delicious,A,2017-12-03 23:59:59.999999999,40.17857142857143,terminal,Azadpur,50.0,
producer,Shopian,Delicious,A,2017-12-10 23:59:59.999999999,41.160714285714285,terminal,Azadpur,50.892857142857146,
producer,Shopian,Delicious,A,2017-12-17 23:59:59.999999999,40.80357142857143,terminal,Azadpur,52.901785714285715,
producer,Shopian,Delicious,A,2017-12-24 23:59:59.999999999,39.375,terminal,Azadpur,51.5625,
producer,Shopian,Delicious,A,2017-12-31 23:59:59.999999999,34.910714285714285,terminal,Azadpur,47.32142857142857,
producer,Shopian,Delicious,A,2018-09-16 23:59:59.999999999,34.375,terminal,Azadpur,53.125,
producer,Shopian,Delicious,A,2018-09-23 23:59:59.999999999,34.375,terminal,Azadpur,53.125,
producer,Shopian,Delicious,A,2018-09-30 23:59:59.999999999,34.375,terminal,Azadpur,59.375,
producer,Shopian,Delicious,A,2018-10-07 23:59:59.999999999,40.625,terminal,Azadpur,62.05357142857143,
producer,Shopian,Delicious,A,2018-10-14 23:59:59.999999999,42.63392857142857,terminal,Azadpur,63.839285714285715,
producer,Shopian,Delicious,A,2018-10-21 23:59:59.999999999,41.517857142857146,terminal,Azadpur,65.625,
producer,Shopian,Delicious,A,2018-10-28 23:59:59.999999999,40.625,terminal,Azadpur,62.05357142857143,
producer,Shopian,Delicious,A,2018-11-04 23:59:59.999999999,40.625,terminal,Azadpur,63.839285714285715,
producer,Shopian,Delicious,A,2018-11-11 23:59:59.999999999,40.625,terminal,Azadpur,50.44642857142857,
producer,Shopian,Delicious,A,2018-11-18 23:59:59.999999999,40.625,terminal,Azadpur,49.55357142857143,
producer,Shopian,Delicious,A,2018-11-25 23:59:59.999999999,41.294642857142854,terminal,Azadpur,49.107142857142854,
producer,Shopian,Delicious,A,2018-12-02 23:59:59.999999999,43.30357142857143,terminal,Azadpur,51.785714285714285,
producer,Shopian,Delicious,A,2018-12-09 23:59:59.999999999,41.07142857142857,terminal,Azadpur,48.035714285714285,
