market,variety,grade,param,coef,se_OLS,p_OLS,t_HAC,se_HAC,p_HAC,n_obs,file
Shopian,Delicious,A,dp_L0,-0.004470811258159539,0.0019083573369909244,0.021450844088791093,-1.670387447811684,0.0026765115267218943,0.0984785447610334,110,weekly_model_Shopian_Delicious_A_posneg.csv
Shopian,Delicious,A,dp_L1,0.0017193458468283238,0.0027341224585636964,0.5311157221321356,1.5625085537018482,0.0011003753181093963,0.12184076240215765,110,weekly_model_Shopian_Delicious_A_posneg.csv
Shopian,Delicious,A,dp_L2,0.0038339806959627127,0.002057136259139928,0.06576977213199423,2.848676287182461,0.001345881493525116,0.005491641261379885,110,weekly_model_Shopian_Delicious_A_posneg.csv
Shopian,Delicious,A,dp_L3,-0.0007336768717499369,0.002178331783181706,0.7370831102981236,-0.5459185086225092,0.0013439311182198049,0.5865353182833151,110,weekly_model_Shopian_Delicious_A_posneg.csv
Shopian,Delicious,A,dp_L4,0.000684961671583277,0.002184842986356771,0.7546552831414287,0.8662320285547164,0.0007907369492283912,0.38877320481483835,110,weekly_model_Shopian_Delicious_A_posneg.csv
Shopian,Delicious,A,dx_L0,0.6619659058726843,0.12003552889064763,3.6087498150265465e-07,3.307441325239391,0.2001444139979631,0.0013755949102192606,110,weekly_model_Shopian_Delicious_A_posneg.csv
Shopian,Delicious,A,dx_L1,0.061572967273105725,0.1354493759320976,0.6505547161609533,0.6524248064719156,0.09437557656041733,0.515867288773884,110,weekly_model_Shopian_Delicious_A_posneg.csv
Shopian,Delicious,A,dx_L2,0.05886098757277187,0.1232230810422837,0.6340910862134326,0.5578668646903624,0.10551081503190189,0.5783846502587553,110,weekly_model_Shopian_Delicious_A_posneg.csv
Shopian,Delicious,A,dx_L3,-0.049403578700031446,0.12001210672659497,0.6816165046241268,-0.6362445167896996,0.0776487300029039,0.526306793930668,110,weekly_model_Shopian_Delicious_A_posneg.csv
Shopian,Delicious,A,dx_L4,0.020000825576372935,0.12029265380824956,0.8683362855643462,0.28468254505080826,0.07025659255927799,0.7765717596035149,110,weekly_model_Shopian_Delicious_A_posneg.csv
Shopian,Delicious,A,dy_L1,-0.027011116842739855,0.11819118952276633,0.819770974485079,-0.30298124750270833,0.08915111765291152,0.7626358295334628,110,weekly_model_Shopian_Delicious_A_posneg.csv
Shopian,Delicious,A,dy_L2,-0.06656614580896608,0.10789050223527102,0.5388787804026245,-1.1166784038079367,0.0596108472967434,0.26724205196865475,110,weekly_model_Shopian_Delicious_A_posneg.csv
Shopian,Delicious,A,dy_L3,-0.18619333343576977,0.1056495802431743,0.08156034785415262,-2.0845579292520333,0.0893202970389882,0.04007536548255724,110,weekly_model_Shopian_Delicious_A_posneg.csv
Shopian,Delicious,A,dy_L4,-0.14041036304561225,0.10170728555706414,0.1709999588634693,-2.1844824235034466,0.06427626129416221,0.03164785912217771,110,weekly_model_Shopian_Delicious_A_posneg.csv
Shopian,Delicious,A,n_L1,0.0039384813156771665,0.0025607316328839285,0.12771268454437365,2.0895301618510134,0.0018848645439931131,0.03961422271078753,110,weekly_model_Shopian_Delicious_A_posneg.csv
