sim,spearman_vs_baseline,kendall_vs_baseline,mean_abs_diff
80,1.0,0.9999999999999998,0.015358924007553947
81,1.0,0.9999999999999998,0.030023523318452316
82,1.0,0.9999999999999998,0.025657806031408804
83,1.0,0.9999999999999998,0.014411769781913511
84,1.0,0.9999999999999998,0.013327984286970913
85,1.0,0.9999999999999998,0.030616238402223613
86,1.0,0.9999999999999998,0.026539364648605852
87,1.0,0.9999999999999998,0.014266023860035039
88,1.0,0.9999999999999998,0.009823429898284816
89,1.0,0.9999999999999998,0.037253637741433
90,1.0,0.9999999999999998,0.012265070382064626
91,1.0,0.9999999999999998,0.03674992421591602
92,1.0,0.9999999999999998,0.0379492532081545
93,1.0,0.9999999999999998,0.0203538850688134
94,1.0,0.9999999999999998,0.013761746268830574
95,1.0,0.9999999999999998,0.005445238189519627
96,1.0,0.9999999999999998,0.008354604128050454
97,1.0,0.9999999999999998,0.012961072426858546
98,1.0,0.9999999999999998,0.007180606814411045
99,1.0,0.9999999999999998,0.0075874271468053395
100,1.0,0.9999999999999998,0.0071212867388230836
101,1.0,0.9999999999999998,0.008131720885952216
102,1.0,0.9999999999999998,0.027576816015027546
103,1.0,0.9999999999999998,0.03787020499645581
104,1.0,0.9999999999999998,0.01330154309537207
105,1.0,0.9999999999999998,0.028396158188791355
106,1.0,0.9999999999999998,0.023269517602310205
107,1.0,0.9999999999999998,0.00940165882031841
108,1.0,0.9999999999999998,0.020322323330414192
109,1.0,0.9999999999999998,0.024129486207417797
110,1.0,0.9999999999999998,0.01108706393213605
111,1.0,0.9999999999999998,0.01693542335796691
112,1.0,0.9999999999999998,0.008500709807652475
113,1.0,0.9999999999999998,0.018212788019621395
114,1.0,0.9999999999999998,0.012475184184412458
115,1.0,0.9999999999999998,0.02603676389788353
116,1.0,0.9999999999999998,0.015377814191952513
117,1.0,0.9999999999999998,0.010430480640463341
118,1.0,0.9999999999999998,0.02833438671323133
119,1.0,0.9999999999999998,0.0297286553633469
120,1.0,0.9999999999999998,0.022141914752993014
121,1.0,0.9999999999999998,0.015600679867259416
122,1.0,0.9999999999999998,0.014777112295370348
123,1.0,0.9999999999999998,0.008390979001153438
124,1.0,0.9999999999999998,0.013464994367364022
125,1.0,0.9999999999999998,0.01365210801957837
126,1.0,0.9999999999999998,0.02028283860188354
127,1.0,0.9999999999999998,0.020119522680490325
128,1.0,0.9999999999999998,0.031716479674516934
129,1.0,0.9999999999999998,0.012647660014324845
130,1.0,0.9999999999999998,0.04543015518248777
131,1.0,0.9999999999999998,0.02316619642953016
132,1.0,0.9999999999999998,0.022266994595047968
133,1.0,0.9999999999999998,0.026704603497043837
134,1.0,0.9999999999999998,0.011319666964415005
135,1.0,0.9999999999999998,0.02353295689021618
136,1.0,0.9999999999999998,0.020556078711012553
137,1.0,0.9999999999999998,0.014502449088312115
138,1.0,0.9999999999999998,0.011493305411080679
139,1.0,0.9999999999999998,0.031476647246520245
140,1.0,0.9999999999999998,0.006730392821593399
141,1.0,0.9999999999999998,0.015771223761940824
142,1.0,0.9999999999999998,0.00936066109644057
143,1.0,0.9999999999999998,0.013712138710512807
144,1.0,0.9999999999999998,0.025421617517575268
145,1.0,0.9999999999999998,0.014620927823288464
146,1.0,0.9999999999999998,0.01633125416892664
147,1.0,0.9999999999999998,0.014906020266694714
148,1.0,0.9999999999999998,0.024854631376990767
149,1.0,0.9999999999999998,0.020701074792683585
150,1.0,0.9999999999999998,0.007855952494992435
151,1.0,0.9999999999999998,0.007917526562693677
152,1.0,0.9999999999999998,0.01741134256895749
153,1.0,0.9999999999999998,0.023830950033580052
154,1.0,0.9999999999999998,0.015941296381205942
155,1.0,0.9999999999999998,0.013318640284687655
156,1.0,0.9999999999999998,0.015313248859888148
157,1.0,0.9999999999999998,0.034203889050781935
158,1.0,0.9999999999999998,0.022033543649444882
159,1.0,0.9999999999999998,0.008416067189502115
160,1.0,0.9999999999999998,0.015207943872509129
161,1.0,0.9999999999999998,0.023698407633330504
162,1.0,0.9999999999999998,0.03282904194165208
163,1.0,0.9999999999999998,0.021052077227557066
164,1.0,0.9999999999999998,0.010103510498352328
165,1.0,0.9999999999999998,0.03297410610236481
166,1.0,0.9999999999999998,0.03063528362915071
167,1.0,0.9999999999999998,0.005558416086743248
168,1.0,0.9999999999999998,0.011714972204935975
169,1.0,0.9999999999999998,0.03606455662189736
170,1.0,0.9999999999999998,0.021114336279361767
171,1.0,0.9999999999999998,0.012213771593510746
172,1.0,0.9999999999999998,0.01250076298070478
173,1.0,0.9999999999999998,0.007817629030818542
174,1.0,0.9999999999999998,0.016499879603199707
175,1.0,0.9999999999999998,0.030944478941363665
176,1.0,0.9999999999999998,0.023470274438139704
177,1.0,0.9999999999999998,0.01270250450635483
178,1.0,0.9999999999999998,0.008181311487480379
